Date;Close;CloseDolar
2006-04-12;14.06;6.59
2006-04-13;14.11;6.6
2006-04-17;14.3;6.69
2006-04-18;14.85;7.02
2006-04-19;15.34;7.25
2006-04-20;15.28;7.2
2006-04-24;15.47;7.32
2006-04-25;15.62;7.34
2006-04-26;15.61;7.37
2006-04-27;15.41;7.32
2006-04-28;15.42;7.39
2006-05-02;15.37;7.46
2006-05-03;15.3;7.37
2006-05-04;15.21;7.35
2006-05-05;15.19;7.39
2006-05-08;15.14;7.31
2006-05-09;15.07;7.31
2006-05-10;15.06;7.31
2006-05-11;15.01;7.15
2006-05-12;15.02;7.01
2006-05-15;15.05;6.88
2006-05-16;15;7.02
2006-05-17;15.09;6.85
2006-05-18;15.12;6.95
2006-05-19;15.05;6.82
2006-05-22;15.1;6.6
2006-05-23;15.29;6.67
2006-05-24;15.48;6.63
2006-05-25;15.58;6.79
2006-05-26;15.6;6.96
2006-05-29;15.59;6.85
2006-05-30;15.57;6.74
2006-05-31;15.69;6.76
2006-06-01;15.73;6.98
2006-06-02;15.99;7.02
2006-06-05;16.04;7.13
2006-06-06;16.06;7.11
2006-06-07;16.19;7.23
2006-06-08;16.32;7.18
2006-06-09;16.39;7.25
2006-06-12;16.28;7.11
2006-06-13;16.31;7.08
2006-06-14;16.56;7.26
2006-06-16;16.56;7.38
2006-06-19;16.6;7.37
2006-06-20;16.58;7.38
2006-06-21;16.79;7.52
2006-06-22;16.78;7.48
2006-06-23;16.78;7.53
2006-06-26;16.67;7.47
2006-06-27;16.74;7.48
2006-06-28;16.81;7.57
2006-06-29;16.85;7.75
2006-06-30;16.84;7.78
2006-07-03;16.86;7.74
2006-07-04;16.86;7.77
2006-07-05;16.87;7.67
2006-07-06;16.87;7.75
2006-07-07;16.84;7.72
2006-07-10;16.87;7.74
2006-07-11;16.92;7.74
2006-07-12;16.96;7.71
2006-07-13;16.93;7.63
2006-07-14;16.87;7.62
2006-07-17;16.86;7.65
2006-07-18;16.87;7.69
2006-07-19;16.78;7.71
2006-07-20;16.59;7.57
2006-07-21;16.51;7.51
2006-07-24;16.53;7.54
2006-07-25;16.44;7.46
2006-07-26;16.35;7.47
2006-07-27;16.3;7.44
2006-07-28;16.2;7.45
2006-07-31;16.21;7.45
2006-08-01;16.24;7.41
2006-08-02;16.36;7.5
2006-08-03;16.34;7.51
2006-08-04;16.36;7.49
2006-08-07;16.36;7.49
2006-08-08;16.3;7.49
2006-08-09;16.69;7.7
2006-08-10;16.81;7.78
2006-08-11;16.78;7.75
2006-08-14;16.91;7.82
2006-08-15;16.95;7.92
2006-08-16;17.02;7.96
2006-08-17;17.03;7.96
2006-08-18;17.05;7.94
2006-08-21;17.13;8.04
2006-08-22;17.24;8.06
2006-08-23;17.17;7.98
2006-08-24;17.17;7.97
2006-08-25;17.15;7.95
2006-08-28;17.2;8.04
2006-08-29;17.15;8.02
2006-08-30;17.21;8.05
2006-08-31;17.13;7.98
2006-09-01;17.16;8.02
2006-09-04;17.17;8.09
2006-09-05;17.19;8.06
2006-09-06;17.19;7.99
2006-09-08;17.28;8
2006-09-11;17.34;7.97
2006-09-12;17.37;8.01
2006-09-13;17.62;8.16
2006-09-14;17.66;8.16
2006-09-15;17.83;8.29
2006-09-18;18.17;8.47
2006-09-19;18.19;8.41
2006-09-20;18.37;8.44
2006-09-21;18.43;8.34
2006-09-22;18.46;8.37
2006-09-25;18.4;8.29
2006-09-26;18.47;8.42
2006-09-27;18.71;8.56
2006-09-28;18.91;8.7
2006-09-29;18.93;8.72
2006-10-02;19.39;8.98
2006-10-03;19.73;9.08
2006-10-04;19.85;9.18
2006-10-05;19.95;9.24
2006-10-06;20.66;9.55
2006-10-09;20.96;9.72
2006-10-10;21;9.75
2006-10-11;21.18;9.82
2006-10-13;21.4;10.01
2006-10-16;21.51;10.1
2006-10-17;21.53;10.1
2006-10-18;21.52;10.07
2006-10-19;21.91;10.23
2006-10-20;22.02;10.29
2006-10-23;21.61;10.11
2006-10-24;21.6;10.05
2006-10-25;21.43;9.99
2006-10-26;21.49;10.05
2006-10-27;21.45;10.05
2006-10-30;21.38;9.94
2006-10-31;21.34;9.96
2006-11-01;21.33;9.95
2006-11-03;21.26;9.94
2006-11-06;21.58;10.1
2006-11-07;22.14;10.36
2006-11-08;22.36;10.42
2006-11-09;22.64;10.58
2006-11-10;22.55;10.48
2006-11-13;22.62;10.43
2006-11-14;22.56;10.5
2006-11-16;22.61;10.5
2006-11-17;22.63;10.47
2006-11-20;22.95;10.62
2006-11-21;23.04;10.65
2006-11-22;23.29;10.75
2006-11-23;23.58;10.88
